Coefficient,feature,category,acronym,plot_index
0.246143743316102,orthographics,errors,ERR,"(ERR)
orthographics"
0.15063099979220151,orthographics-misspelled-words,errors,ERR,"(ERR)
orthographics-misspelled-words"
0.12953542060197742,orthographics-sentences-starting-in-lowercase,errors,ERR,"(ERR)
orthographics-sentences-starting-in-lowercase"
0.022457994339687648,stylistics,errors,ERR,"(ERR)
stylistics"
0.01735910821390707,orthographics-misspelled-accents-words,errors,ERR,"(ERR)
orthographics-misspelled-accents-words"
0.013340392377491295,sentences-starting-with-the-same-word,errors,ERR,"(ERR)
sentences-starting-with-the-same-word"
0.012380914083466532,performance-two-or-more-consecutive-commas,errors,ERR,"(ERR)
performance-two-or-more-consecutive-commas"
0.011739490313334322,performance-duplicated-words,errors,ERR,"(ERR)
performance-duplicated-words"
0.010135054574566205,performance,errors,ERR,"(ERR)
performance"
0.0031964446455536866,performance-dot-after-exclamation-or-interrogation,errors,ERR,"(ERR)
performance-dot-after-exclamation-or-interrogation"
0.0019009762079238435,performance-common-errors,errors,ERR,"(ERR)
performance-common-errors"
