Coefficient,feature,category,acronym,plot_index
0.314632889230535,death,lexical,LEX,"(LEX)
death"
0.2780676224863825,health,lexical,LEX,"(LEX)
health"
0.18278540177626468,social-cognitive,lexical,LEX,"(LEX)
social-cognitive"
0.15888287467066275,social-cognitive-insight,lexical,LEX,"(LEX)
social-cognitive-insight"
0.15808151682924398,social-analytic,lexical,LEX,"(LEX)
social-analytic"
0.14792065436744473,social-perceptual-processes,lexical,LEX,"(LEX)
social-perceptual-processes"
0.13912460251542536,social-relativity-space,lexical,LEX,"(LEX)
social-relativity-space"
0.13831315202658168,social-relativity-time,lexical,LEX,"(LEX)
social-relativity-time"
0.13696483944577942,social-cognitive-tentativeness,lexical,LEX,"(LEX)
social-cognitive-tentativeness"
0.12600792415619688,social-cognitive-discrepancies,lexical,LEX,"(LEX)
social-cognitive-discrepancies"
0.12488018738458395,social-relativity-movement,lexical,LEX,"(LEX)
social-relativity-movement"
0.11915332386462962,personal-work,lexical,LEX,"(LEX)
personal-work"
0.11847330440691506,social-perceptual-feel,lexical,LEX,"(LEX)
social-perceptual-feel"
0.11610458971388882,social-cognitive-cause,lexical,LEX,"(LEX)
social-cognitive-cause"
0.1068673145634329,social-cognitive-certainty,lexical,LEX,"(LEX)
social-cognitive-certainty"
0.07989297074115376,social-perceptual-hear,lexical,LEX,"(LEX)
social-perceptual-hear"
0.06900431877795432,social-affiliation,lexical,LEX,"(LEX)
social-affiliation"
0.0642075671229212,social-achievement,lexical,LEX,"(LEX)
social-achievement"
0.05865855719188984,social-inclusive,lexical,LEX,"(LEX)
social-inclusive"
0.052547643637919084,ingesting,lexical,LEX,"(LEX)
ingesting"
0.0457982274931501,social-social-male,lexical,LEX,"(LEX)
social-social-male"
0.04510961174426198,body,lexical,LEX,"(LEX)
body"
0.0422931550756811,social-friendship,lexical,LEX,"(LEX)
social-friendship"
0.04226921585637955,social-perceptual-explore,lexical,LEX,"(LEX)
social-perceptual-explore"
0.04009690463930404,social-risk,lexical,LEX,"(LEX)
social-risk"
0.03725990119974387,social-social-family,lexical,LEX,"(LEX)
social-social-family"
0.03665927165417138,home,lexical,LEX,"(LEX)
home"
0.03392599755019621,social-perceptual-see,lexical,LEX,"(LEX)
social-perceptual-see"
0.03336722314165863,sex,lexical,LEX,"(LEX)
sex"
0.033109131551731785,personal-money,lexical,LEX,"(LEX)
personal-money"
0.027239435798554368,social-perceptual-surprise,lexical,LEX,"(LEX)
social-perceptual-surprise"
0.02422533872496846,social-social-female,lexical,LEX,"(LEX)
social-social-female"
0.023720469338115446,personal-religion,lexical,LEX,"(LEX)
personal-religion"
0.0216580679880507,persons,lexical,LEX,"(LEX)
persons"
0.020219848971060106,organisations,lexical,LEX,"(LEX)
organisations"
0.019271506616013845,others,lexical,LEX,"(LEX)
others"
0.019033362355580064,jobs,lexical,LEX,"(LEX)
jobs"
0.018657141798756882,locations,lexical,LEX,"(LEX)
locations"
0.0073266677235919175,crime,lexical,LEX,"(LEX)
crime"
0.001509282058343775,animals,lexical,LEX,"(LEX)
animals"
0.0012758137436641448,body-female-genitalia,lexical,LEX,"(LEX)
body-female-genitalia"
0.00041142461356091786,clothes,lexical,LEX,"(LEX)
clothes"
0.00021284260276788203,food,lexical,LEX,"(LEX)
food"
