Coefficient,feature,category,acronym,plot_index
0.21558742556084987,morphology-adjectives,morphosyntax,MOR,"(MOR)
morphology-adjectives"
0.213206655922213,morphology-adjectives-qualifying,morphosyntax,MOR,"(MOR)
morphology-adjectives-qualifying"
0.20466150749933165,morphology-nouns,morphosyntax,MOR,"(MOR)
morphology-nouns"
0.18745436750868238,morphology-nouns-common,morphosyntax,MOR,"(MOR)
morphology-nouns-common"
0.18368666254594324,affixes-prefixes,morphosyntax,MOR,"(MOR)
affixes-prefixes"
0.18097862559146582,morphology-verbs-inflection-irregular,morphosyntax,MOR,"(MOR)
morphology-verbs-inflection-irregular"
0.1800455599420392,morphology-conjunctions,morphosyntax,MOR,"(MOR)
morphology-conjunctions"
0.17807942722961867,morphology-pronouns-personal-number,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-number"
0.17673288232555473,morphology-verbs-number,morphosyntax,MOR,"(MOR)
morphology-verbs-number"
0.17596884921589284,morphology-determiners,morphosyntax,MOR,"(MOR)
morphology-determiners"
0.174789941101813,morphology-determiners-articles,morphosyntax,MOR,"(MOR)
morphology-determiners-articles"
0.1725422217452457,morphology-prepositions,morphosyntax,MOR,"(MOR)
morphology-prepositions"
0.17146030833390213,morphology-verbs-number-singular-first,morphosyntax,MOR,"(MOR)
morphology-verbs-number-singular-first"
0.1705677759371267,morphology-verbs-number-singular,morphosyntax,MOR,"(MOR)
morphology-verbs-number-singular"
0.17026445117407585,morphology-pronouns-personal-person-second,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-person-second"
0.1688408737030649,affixes-suffixes,morphosyntax,MOR,"(MOR)
affixes-suffixes"
0.16883204168937738,morphology-pronouns-personal-person-first,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-person-first"
0.16729317416329037,affixes-suffixes-nominals,morphosyntax,MOR,"(MOR)
affixes-suffixes-nominals"
0.16626338977518618,morphology-pronouns-personal-number-singular,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-number-singular"
0.16624470363853794,morphology-pronouns-personal,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal"
0.16579054043519292,morphology-prepositions-individual,morphosyntax,MOR,"(MOR)
morphology-prepositions-individual"
0.16536011820972574,morphology-pronouns-personal-number-plural,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-number-plural"
0.165215579924205,morphology-verbs-function-auxiliary,morphosyntax,MOR,"(MOR)
morphology-verbs-function-auxiliary"
0.1637545307353463,morphology-verbs-number-singular-third,morphosyntax,MOR,"(MOR)
morphology-verbs-number-singular-third"
0.16312874087788387,morphology-verbs-function-copulative,morphosyntax,MOR,"(MOR)
morphology-verbs-function-copulative"
0.16304116830357707,morphology-pronouns-personal-person,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-person"
0.16219577810084207,morphology-pronouns-personal-person-third,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-person-third"
0.16219299354093808,morphology-verbs-mode-indicative,morphosyntax,MOR,"(MOR)
morphology-verbs-mode-indicative"
0.15980922618655047,affixes-suffixes-adjectivizers,morphosyntax,MOR,"(MOR)
affixes-suffixes-adjectivizers"
0.1588140027444127,morphology-verbs-inflection-regular,morphosyntax,MOR,"(MOR)
morphology-verbs-inflection-regular"
0.1578926711341917,morphology-verbs-function-main,morphosyntax,MOR,"(MOR)
morphology-verbs-function-main"
0.15754994664090427,morphology-verbs-indicative-simple-imperative,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-simple-imperative"
0.15738593878498364,morphology-pronouns-impersonal,morphosyntax,MOR,"(MOR)
morphology-pronouns-impersonal"
0.15552535560460345,morphology-verbs-indicative-simple-present,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-simple-present"
0.15460035844910758,morphology-adverbs,morphosyntax,MOR,"(MOR)
morphology-adverbs"
0.15420858781357216,morphology-conjunctions-coordinating,morphosyntax,MOR,"(MOR)
morphology-conjunctions-coordinating"
0.15366544555398232,gender-words-masculine,morphosyntax,MOR,"(MOR)
gender-words-masculine"
0.15311302710671448,morphology-verbs-imperative,morphosyntax,MOR,"(MOR)
morphology-verbs-imperative"
0.1516941896778392,morphology-verbs-tense-present,morphosyntax,MOR,"(MOR)
morphology-verbs-tense-present"
0.15028125936481063,number-singular,morphosyntax,MOR,"(MOR)
number-singular"
0.149925398313278,morphology-verbs-intransitive,morphosyntax,MOR,"(MOR)
morphology-verbs-intransitive"
0.14992353115691692,morphology-pronouns-personal-gender,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-gender"
0.14984900926762057,morphology-verbs-indicative-simple,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-simple"
0.14431412229011187,morphology-verbs-transitive,morphosyntax,MOR,"(MOR)
morphology-verbs-transitive"
0.14140898354262754,morphology-conjunctions-subordinating,morphosyntax,MOR,"(MOR)
morphology-conjunctions-subordinating"
0.14113484898687956,gender-words-feminine,morphosyntax,MOR,"(MOR)
gender-words-feminine"
0.14080639136524642,morphology-pronouns-personal-gender-neutral,morphosyntax,MOR,"(MOR)
morphology-pronouns-personal-gender-neutral"
0.1397653291559826,morphology-verbs-subjunctive-simple,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-simple"
0.13225927147648164,morphology-verbs-subjunctive-simple-present,morphosyntax,MOR,"(MOR)
morphology-verbs-subjunctive-simple-present"
0.13192048130552614,morphology-verbs-number-singular-second,morphosyntax,MOR,"(MOR)
morphology-verbs-number-singular-second"
0.1282475851332947,morphology-verbs-mode-subjunctive,morphosyntax,MOR,"(MOR)
morphology-verbs-mode-subjunctive"
0.1270439987071179,affixes-suffixes-augmentative,morphosyntax,MOR,"(MOR)
affixes-suffixes-augmentative"
0.1264836469255468,morphology-verbs-nonfinite-infinitive,morphosyntax,MOR,"(MOR)
morphology-verbs-nonfinite-infinitive"
0.12324142216431522,morphology-pronouns,morphosyntax,MOR,"(MOR)
morphology-pronouns"
0.12239096492387791,number-plural,morphosyntax,MOR,"(MOR)
number-plural"
0.12152449053595893,morphology-verbs-nonfinite-participle,morphosyntax,MOR,"(MOR)
morphology-verbs-nonfinite-participle"
0.11478079243162576,affixes-suffixes-diminutives,morphosyntax,MOR,"(MOR)
affixes-suffixes-diminutives"
0.11366859045993971,morphology-adverbs-negation,morphosyntax,MOR,"(MOR)
morphology-adverbs-negation"
0.11299331849307981,morphology-nouns-proper,morphosyntax,MOR,"(MOR)
morphology-nouns-proper"
0.10951692271467817,morphology-pronouns-interrogative,morphosyntax,MOR,"(MOR)
morphology-pronouns-interrogative"
0.10347693355847509,morphology-verbs-indicative-compound,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound"
0.10140396072094848,morphology-verbs-tense-past,morphosyntax,MOR,"(MOR)
morphology-verbs-tense-past"
0.09528247457155103,morphology-determiners-possessive,morphosyntax,MOR,"(MOR)
morphology-determiners-possessive"
0.09477933742267464,morphology-verbs-number-plural,morphosyntax,MOR,"(MOR)
morphology-verbs-number-plural"
0.08902756832973813,morphology-verbs-number-plural-third,morphosyntax,MOR,"(MOR)
morphology-verbs-number-plural-third"
0.0848558660733767,morphology-verbs-indicative-compound-past-perfect,morphosyntax,MOR,"(MOR)
morphology-verbs-indicative-compound-past-perfect"
