Coefficient,feature,category,acronym,plot_index
0.33372576599741777,processes-negative-sad,psycholinguistic,PSY,"(PSY)
processes-negative-sad"
0.26175479942576896,processes-negative-anger,psycholinguistic,PSY,"(PSY)
processes-negative-anger"
0.23224833152689506,processes-negative-general,psycholinguistic,PSY,"(PSY)
processes-negative-general"
0.22806864779422975,processes-negative,psycholinguistic,PSY,"(PSY)
processes-negative"
0.18827831946578444,processes-negative-anxiety,psycholinguistic,PSY,"(PSY)
processes-negative-anxiety"
0.18046301976877643,processes,psycholinguistic,PSY,"(PSY)
processes"
0.1563984317015752,processes-positive,psycholinguistic,PSY,"(PSY)
processes-positive"
0.1406619135488123,processes-positive-general,psycholinguistic,PSY,"(PSY)
processes-positive-general"
0.07896168481889232,processes-positive-pleasure,psycholinguistic,PSY,"(PSY)
processes-positive-pleasure"
0.010697153471925347,processes-negative-emoticons,psycholinguistic,PSY,"(PSY)
processes-negative-emoticons"
0.009496986860335621,processes-positive-emoticons,psycholinguistic,PSY,"(PSY)
processes-positive-emoticons"
