Coefficient,feature,category,acronym,plot_index
0.06475861979823616,informal-speech-colloquialisms,register,REG,"(REG)
informal-speech-colloquialisms"
0.042676105444340084,offensive-speech,register,REG,"(REG)
offensive-speech"
0.03523130169884814,informal-speech-assent,register,REG,"(REG)
informal-speech-assent"
0.030221288299107307,offensive-speech-soft,register,REG,"(REG)
offensive-speech-soft"
0.02640864965649037,offensive-speech-strong,register,REG,"(REG)
offensive-speech-strong"
0.02604700743385102,informal-speech-swear,register,REG,"(REG)
informal-speech-swear"
0.018540973330617216,polite-language-cultisms,register,REG,"(REG)
polite-language-cultisms"
0.01284140250904775,informal-speech-sms,register,REG,"(REG)
informal-speech-sms"
0.00749161447935931,informal-speech-nonfluencies,register,REG,"(REG)
informal-speech-nonfluencies"
0.00019391461273476907,polite-language-latinisms,register,REG,"(REG)
polite-language-latinisms"
