Coefficient,feature,category,acronym,plot_index
0.3070971763195862,corpus-length,stylometry,STY,"(STY)
corpus-length"
0.29438471344208406,corpus-syllabes-count,stylometry,STY,"(STY)
corpus-syllabes-count"
0.2912354693235639,corpus-words-count,stylometry,STY,"(STY)
corpus-words-count"
0.23344369702381274,corpus-words-per-sentence,stylometry,STY,"(STY)
corpus-words-per-sentence"
0.19173105565064352,corpus-titlecase,stylometry,STY,"(STY)
corpus-titlecase"
0.18888661971007137,punctuation-symbols-fullstop,stylometry,STY,"(STY)
punctuation-symbols-fullstop"
0.18386923033034996,corpus-words-with-4ltr,stylometry,STY,"(STY)
corpus-words-with-4ltr"
0.1795990374949743,corpus-inflesz,stylometry,STY,"(STY)
corpus-inflesz"
0.1732705030443662,punctuation-symbols-space,stylometry,STY,"(STY)
punctuation-symbols-space"
0.16810548528817426,corpus-words-with-8ltr,stylometry,STY,"(STY)
corpus-words-with-8ltr"
0.16689076058296282,corpus-readability,stylometry,STY,"(STY)
corpus-readability"
0.16685685816633544,corpus-TTR-standard,stylometry,STY,"(STY)
corpus-TTR-standard"
0.16628458724155726,corpus-words-with-1ltr,stylometry,STY,"(STY)
corpus-words-with-1ltr"
0.16536913793063723,corpus-words-with-5ltr,stylometry,STY,"(STY)
corpus-words-with-5ltr"
0.16419298491887835,corpus-TTR,stylometry,STY,"(STY)
corpus-TTR"
0.1610745168014085,corpus-words-with-7ltr,stylometry,STY,"(STY)
corpus-words-with-7ltr"
0.16077911811835577,corpus-syllabes-per-word,stylometry,STY,"(STY)
corpus-syllabes-per-word"
0.15833652069715765,corpus-words-with-2ltr,stylometry,STY,"(STY)
corpus-words-with-2ltr"
0.1561568091902532,corpus-words-longer-6tr,stylometry,STY,"(STY)
corpus-words-longer-6tr"
0.15577359889511344,corpus-words-with-9ltr,stylometry,STY,"(STY)
corpus-words-with-9ltr"
0.15438490840343055,corpus-words-with-6ltr,stylometry,STY,"(STY)
corpus-words-with-6ltr"
0.149870549832261,corpus-words-with-3ltr,stylometry,STY,"(STY)
corpus-words-with-3ltr"
0.1417120225141697,corpus-words-length-avg,stylometry,STY,"(STY)
corpus-words-length-avg"
0.1309745051181972,punctuation-symbols-commas,stylometry,STY,"(STY)
punctuation-symbols-commas"
0.1266175272676051,punctuation-symbols-colons,stylometry,STY,"(STY)
punctuation-symbols-colons"
0.1251302563571408,corpus-words-with-10ltr,stylometry,STY,"(STY)
corpus-words-with-10ltr"
0.10111357620885775,corpus-words-with-11ltr,stylometry,STY,"(STY)
corpus-words-with-11ltr"
0.09738913482502021,sentences-count,stylometry,STY,"(STY)
sentences-count"
0.06649738390590176,corpus-words-with-12ltr,stylometry,STY,"(STY)
corpus-words-with-12ltr"
0.06585016876551553,corpus-uppercase,stylometry,STY,"(STY)
corpus-uppercase"
0.06500928301372166,punctuation-symbols-backslash,stylometry,STY,"(STY)
punctuation-symbols-backslash"
0.06440985430151835,punctuation-symbols-numero-sign,stylometry,STY,"(STY)
punctuation-symbols-numero-sign"
0.055570985809685336,punctuation-symbols-quotation-close,stylometry,STY,"(STY)
punctuation-symbols-quotation-close"
0.05364761262313955,punctuation-symbols-quotation-open,stylometry,STY,"(STY)
punctuation-symbols-quotation-open"
0.04177138042089146,corpus-words-with-13ltr,stylometry,STY,"(STY)
corpus-words-with-13ltr"
0.0393535163818024,punctuation-symbols-brackets-open,stylometry,STY,"(STY)
punctuation-symbols-brackets-open"
