Coefficient,feature,category,acronym,plot_index
0.246143743316102,orthographics,errors,ERR,"(ERR)
orthographics"
0.15063099979220151,orthographics-misspelled-words,errors,ERR,"(ERR)
orthographics-misspelled-words"
0.12953542060197742,orthographics-sentences-starting-in-lowercase,errors,ERR,"(ERR)
orthographics-sentences-starting-in-lowercase"
0.022457994339687648,stylistics,errors,ERR,"(ERR)
stylistics"
0.01735910821390707,orthographics-misspelled-accents-words,errors,ERR,"(ERR)
orthographics-misspelled-accents-words"
0.013340392377491295,sentences-starting-with-the-same-word,errors,ERR,"(ERR)
sentences-starting-with-the-same-word"
0.012380914083466532,performance-two-or-more-consecutive-commas,errors,ERR,"(ERR)
performance-two-or-more-consecutive-commas"
0.011739490313334322,performance-duplicated-words,errors,ERR,"(ERR)
performance-duplicated-words"
0.010135054574566205,performance,errors,ERR,"(ERR)
performance"
0.0031964446455536866,performance-dot-after-exclamation-or-interrogation,errors,ERR,"(ERR)
performance-dot-after-exclamation-or-interrogation"
0.0019009762079238435,performance-common-errors,errors,ERR,"(ERR)
performance-common-errors"
0.314632889230535,death,lexical,LEX,"(LEX)
death"
0.2780676224863825,health,lexical,LEX,"(LEX)
health"
0.18278540177626468,social-cognitive,lexical,LEX,"(LEX)
social-cognitive"
0.15888287467066275,social-cognitive-insight,lexical,LEX,"(LEX)
social-cognitive-insight"
0.15808151682924398,social-analytic,lexical,LEX,"(LEX)
social-analytic"
0.14792065436744473,social-perceptual-processes,lexical,LEX,"(LEX)
social-perceptual-processes"
0.13912460251542536,social-relativity-space,lexical,LEX,"(LEX)
social-relativity-space"
0.13831315202658168,social-relativity-time,lexical,LEX,"(LEX)
social-relativity-time"
0.13696483944577942,social-cognitive-tentativeness,lexical,LEX,"(LEX)
social-cognitive-tentativeness"
0.12600792415619688,social-cognitive-discrepancies,lexical,LEX,"(LEX)
social-cognitive-discrepancies"
0.12488018738458395,social-relativity-movement,lexical,LEX,"(LEX)
social-relativity-movement"
0.11915332386462962,personal-work,lexical,LEX,"(LEX)
personal-work"
