acronym,category,feature,Coefficient
PSY,psycholinguistic,processes-negative-sad,0.33372576599741777
LEX,lexical,death,0.314632889230535
STY,stylometry,corpus-length,0.3070971763195862
STY,stylometry,corpus-syllabes-count,0.29438471344208406
STY,stylometry,corpus-words-count,0.2912354693235639
LEX,lexical,health,0.2780676224863825
PSY,psycholinguistic,processes-negative-anger,0.26175479942576896
ERR,errors,orthographics,0.246143743316102
STY,stylometry,corpus-words-per-sentence,0.23344369702381274
PSY,psycholinguistic,processes-negative-general,0.23224833152689506
PSY,psycholinguistic,processes-negative,0.22806864779422975
MOR,morphosyntax,morphology-adjectives,0.21558742556084987
MOR,morphosyntax,morphology-adjectives-qualifying,0.213206655922213
MOR,morphosyntax,morphology-nouns,0.20466150749933165
STY,stylometry,corpus-titlecase,0.19173105565064352
STY,stylometry,punctuation-symbols-fullstop,0.18888661971007137
PSY,psycholinguistic,processes-negative-anxiety,0.18827831946578444
MOR,morphosyntax,morphology-nouns-common,0.18745436750868238
STY,stylometry,corpus-words-with-4ltr,0.18386923033034996
MOR,morphosyntax,affixes-prefixes,0.18368666254594324
LEX,lexical,social-cognitive,0.18278540177626468
MOR,morphosyntax,morphology-verbs-inflection-irregular,0.18097862559146582
PSY,psycholinguistic,processes,0.18046301976877643
MOR,morphosyntax,morphology-conjunctions,0.1800455599420392
STY,stylometry,corpus-inflesz,0.1795990374949743
MOR,morphosyntax,morphology-pronouns-personal-number,0.17807942722961867
MOR,morphosyntax,morphology-verbs-number,0.17673288232555473
MOR,morphosyntax,morphology-determiners,0.17596884921589284
MOR,morphosyntax,morphology-determiners-articles,0.174789941101813
STY,stylometry,punctuation-symbols-space,0.1732705030443662
MOR,morphosyntax,morphology-prepositions,0.1725422217452457
MOR,morphosyntax,morphology-verbs-number-singular-first,0.17146030833390213
MOR,morphosyntax,morphology-verbs-number-singular,0.1705677759371267
MOR,morphosyntax,morphology-pronouns-personal-person-second,0.17026445117407585
MOR,morphosyntax,affixes-suffixes,0.1688408737030649
MOR,morphosyntax,morphology-pronouns-personal-person-first,0.16883204168937738
STY,stylometry,corpus-words-with-8ltr,0.16810548528817426
MOR,morphosyntax,affixes-suffixes-nominals,0.16729317416329037
STY,stylometry,corpus-readability,0.16689076058296282
STY,stylometry,corpus-TTR-standard,0.16685685816633544
STY,stylometry,corpus-words-with-1ltr,0.16628458724155726
MOR,morphosyntax,morphology-pronouns-personal-number-singular,0.16626338977518618
MOR,morphosyntax,morphology-pronouns-personal,0.16624470363853794
MOR,morphosyntax,morphology-prepositions-individual,0.16579054043519292
STY,stylometry,corpus-words-with-5ltr,0.16536913793063723
MOR,morphosyntax,morphology-pronouns-personal-number-plural,0.16536011820972574
MOR,morphosyntax,morphology-verbs-function-auxiliary,0.165215579924205
STY,stylometry,corpus-TTR,0.16419298491887835
MOR,morphosyntax,morphology-verbs-number-singular-third,0.1637545307353463
MOR,morphosyntax,morphology-verbs-function-copulative,0.16312874087788387
MOR,morphosyntax,morphology-pronouns-personal-person,0.16304116830357707
MOR,morphosyntax,morphology-pronouns-personal-person-third,0.16219577810084207
MOR,morphosyntax,morphology-verbs-mode-indicative,0.16219299354093808
STY,stylometry,corpus-words-with-7ltr,0.1610745168014085
STY,stylometry,corpus-syllabes-per-word,0.16077911811835577
MOR,morphosyntax,affixes-suffixes-adjectivizers,0.15980922618655047
LEX,lexical,social-cognitive-insight,0.15888287467066275
MOR,morphosyntax,morphology-verbs-inflection-regular,0.1588140027444127
STY,stylometry,corpus-words-with-2ltr,0.15833652069715765
LEX,lexical,social-analytic,0.15808151682924398
MOR,morphosyntax,morphology-verbs-function-main,0.1578926711341917
MOR,morphosyntax,morphology-verbs-indicative-simple-imperative,0.15754994664090427
MOR,morphosyntax,morphology-pronouns-impersonal,0.15738593878498364
PSY,psycholinguistic,processes-positive,0.1563984317015752
STY,stylometry,corpus-words-longer-6tr,0.1561568091902532
STY,stylometry,corpus-words-with-9ltr,0.15577359889511344
MOR,morphosyntax,morphology-verbs-indicative-simple-present,0.15552535560460345
MOR,morphosyntax,morphology-adverbs,0.15460035844910758
STY,stylometry,corpus-words-with-6ltr,0.15438490840343055
MOR,morphosyntax,morphology-conjunctions-coordinating,0.15420858781357216
MOR,morphosyntax,gender-words-masculine,0.15366544555398232
MOR,morphosyntax,morphology-verbs-imperative,0.15311302710671448
MOR,morphosyntax,morphology-verbs-tense-present,0.1516941896778392
ERR,errors,orthographics-misspelled-words,0.15063099979220151
MOR,morphosyntax,number-singular,0.15028125936481063
MOR,morphosyntax,morphology-verbs-intransitive,0.149925398313278
MOR,morphosyntax,morphology-pronouns-personal-gender,0.14992353115691692
STY,stylometry,corpus-words-with-3ltr,0.149870549832261
MOR,morphosyntax,morphology-verbs-indicative-simple,0.14984900926762057
LEX,lexical,social-perceptual-processes,0.14792065436744473
MOR,morphosyntax,morphology-verbs-transitive,0.14431412229011187
STY,stylometry,corpus-words-length-avg,0.1417120225141697
MOR,morphosyntax,morphology-conjunctions-subordinating,0.14140898354262754
MOR,morphosyntax,gender-words-feminine,0.14113484898687956
MOR,morphosyntax,morphology-pronouns-personal-gender-neutral,0.14080639136524642
